Frontier,SolutionIndex,Fire Hazard Increase,Northern Spotted Owl Habitat (ha),Peak Sediment Delivery (t)
Ensemble_rcp85,47,13896.12128710569,2450.3425501815113,64.87611078824537
Ensemble_rcp85,48,13841.452571387113,2467.3448322727395,82.78300589188336
Ensemble_rcp85,49,13850.930636487406,2440.6413123681523,68.11802952260335
Ensemble_rcp85,50,13851.05790105131,2442.204017527841,68.11802952260335
Ensemble_rcp85,51,13847.960522195832,2429.7021406382423,65.66769499471337
Ensemble_rcp85,52,13849.867561986355,2431.0277355391913,65.66769499471336
Ensemble_rcp85,53,13853.013003345402,2432.144639967699,65.66769499471337
Ensemble_rcp85,54,13852.876965760925,2446.634892780162,72.72844304360535
Ensemble_rcp85,55,13854.814150445793,2440.6413123681523,65.66769499471337
Ensemble_rcp85,56,15250.100471895557,2472.018586397992,0.00527707352107
Ensemble_rcp85,57,13845.330599622568,2468.39498435043,82.64902045219137
Ensemble_rcp85,58,13846.500889196168,2463.207816835071,81.99142168541536
Ensemble_rcp85,59,13853.037428557858,2443.5296124287925,68.11802952260335
Ensemble_rcp85,60,13855.18930020982,2442.204017527841,65.66769499471337
Ensemble_rcp85,61,13848.779292584997,2469.8026630800846,82.78300589188336
Ensemble_rcp85,62,13853.042054604253,2464.4071322307996,81.99142168541536
Ensemble_rcp85,63,13853.415693146246,2465.4222910947196,81.99142168541536
Ensemble_rcp85,64,13854.034467289248,2467.3448322727404,81.99142168541536
Ensemble_rcp85,65,13856.83356805007,2462.0218626979326,73.52002725007335
Ensemble_rcp85,66,13857.966493715718,2443.5296124287916,65.66769499471337
Ensemble_rcp85,67,15248.474536704418,2473.0773241587026,0.008510072433409996
Ensemble_rcp85,68,13840.730530550469,2458.836696980652,81.99142168541536
Ensemble_rcp85,69,13858.369475603977,2445.0124322225724,68.11802952260335
Ensemble_rcp85,70,13860.70424189077,2445.0124322225724,65.66769499471337
Ensemble_rcp85,71,13858.650325327715,2463.3474575988816,73.52002725007335
Ensemble_rcp85,72,13862.721975446679,2446.6348927801623,68.11802952260335
Ensemble_rcp85,73,13865.736018264499,2446.6348927801623,65.66769499471337
Ensemble_rcp85,74,15176.44051414694,2407.0796982257516,0.008510072433409996
Ensemble_rcp85,75,13853.586193915611,2449.223120151691,72.72844304360535
Ensemble_rcp85,76,13841.31926211681,2460.399402140342,81.99142168541536
Ensemble_rcp85,77,13861.032845780857,2460.3994021403423,72.72844304360535
Ensemble_rcp85,78,13862.864768362677,2462.2887198381723,72.72844304360535
Ensemble_rcp85,79,13854.788787177546,2470.836514590079,82.78300589188336
Ensemble_rcp85,80,13866.680605737098,2428.53334521073,65.07448784651336
Ensemble_rcp85,81,13866.80316467917,2429.702140638241,65.07448784651336
Ensemble_rcp85,82,13858.558350423486,2468.39498435043,81.85743624572336
Ensemble_rcp85,83,13861.30570150369,2472.1178194822955,82.64902045219137
Ensemble_rcp85,84,15176.17370019766,2420.7534133655217,0.04550081710437
Ensemble_rcp85,85,13862.372274616799,2467.3448322727404,73.52002725007335
Ensemble_rcp85,86,13867.594290013465,2463.9111803957835,72.72844304360535
Ensemble_rcp85,87,13842.423848871758,2461.7249970412913,81.99142168541536
Ensemble_rcp85,88,13871.61790979665,2451.9052553412002,68.11802952260335
Ensemble_rcp85,89,13873.051490838916,2452.9204142051203,68.11802952260335
Ensemble_rcp85,90,13866.939952752857,2470.0174449080205,81.85743624572336
Ensemble_rcp85,91,13868.48232489321,2468.9672928303303,73.52002725007335
Ensemble_rcp85,92,13873.331992953817,2465.42229109472,72.72844304360535
Ensemble_rcp85,93,15250.807700453717,2474.4772658932407,0.00527707352107
Ensemble_rcp85,94,13867.8928699556,2471.1282579810354,81.99142168541536
Ensemble_rcp85,95,13873.950767096821,2467.3448322727404,72.72844304360535
Ensemble_rcp85,96,13870.919086185226,2406.1251085193517,61.10860761077237
Ensemble_rcp85,97,13843.115377166474,2449.2231201516915,73.52002725007335
Ensemble_rcp85,98,13868.920895750693,2431.027735539191,64.87611078824537
Ensemble_rcp85,99,13871.151423079848,2407.6878136790415,61.10860761077237
Ensemble_rcp85,100,13873.13095058638,2409.013408579991,61.10860761077237
Ensemble_rcp85,101,13871.282079225975,2470.01744490802,73.38604181038136
Ensemble_rcp85,102,13878.47465023106,2468.3949843504306,72.59445760391336
