FID,NewId,MEAN_piveg,MEAN_piv_1,FIRST_NewI,SUM_Drink_,Area,Length
30,114,80.000000000000000,3.000000000000000,114,112455.800781000000000,27.801334161800000,0
31,115,72.857142857100001,3.000000000000000,115,713143.703125000000000,176.304145901000000,0
32,116,42.500000000000000,3.000000000000000,116,169688.601563000000000,41.950907694999998,0
33,117,25.000000000000000,3.000000000000000,117,191518.601563000000000,47.347917784899998,0
34,118,47.500000000000000,3.000000000000000,118,247183.601563000000000,61.109618573600002,0
35,119,50.000000000000000,3.000000000000000,119,228331.898438000000000,56.448591602999997,0
36,127,22.500000000000000,2.000000000000000,127,136679.000000000000000,33.790595109700000,0
37,128,15.000000000000000,1.500000000000000,128,211886.300781000000000,52.383365922300001,0
38,134,57.500000000000000,2.000000000000000,134,58384.800781300000000,14.433880544699999,0
39,138,70.000000000000000,1.000000000000000,138,302534.000000000000000,74.793740344300005,0
40,139,65.000000000000000,3.000000000000000,139,164431.000000000000000,40.651104059500000,0
41,141,20.000000000000000,2.000000000000000,141,141793.601563000000000,35.054884048300003,0
42,144,55.000000000000000,2.000000000000000,144,193016.000000000000000,47.717377073900003,0
43,150,65.000000000000000,1.000000000000000,150,53304.000000000000000,13.177830185199999,0
44,157,30.000000000000000,1.000000000000000,157,53814.699218800000000,13.304327712699999,0
45,161,80.000000000000000,1.000000000000000,161,23035.699218800000000,5.694969274970000,0
46,163,80.000000000000000,2.000000000000000,163,64514.800781300000000,15.949341745000000,0
47,164,65.000000000000000,1.000000000000000,164,959683.000000000000000,237.257496653999990,0
48,165,70.000000000000000,2.000000000000000,165,37367.000000000000000,9.237858168240001,0
49,167,10.000000000000000,2.000000000000000,167,12572.700195300000000,3.108242124230000,0
50,170,10.000000000000000,2.000000000000000,170,17808.699218800000000,4.402674931390000,0
51,180,15.000000000000000,2.000000000000000,180,81302.000000000000000,20.099667111500001,0
52,181,20.000000000000000,2.000000000000000,181,40231.101562500000000,9.946026391329999,0
53,184,25.000000000000000,2.000000000000000,184,129808.000000000000000,32.091210447500004,0
54,189,35.000000000000000,2.000000000000000,189,115144.000000000000000,28.466364728599999,0
55,190,35.000000000000000,2.000000000000000,190,52737.398437500000000,13.037870924800000,0
56,192,35.000000000000000,2.000000000000000,192,47219.800781300000000,11.673857532500000,0
57,193,40.000000000000000,2.000000000000000,193,34177.101562500000000,8.449368382940000,0
58,195,40.000000000000000,2.000000000000000,195,34844.601562500000000,8.614343136450000,0
59,198,45.000000000000000,2.000000000000000,198,30256.400390600000000,7.479996195150000,0
60,204,60.000000000000000,2.000000000000000,204,269442.000000000000000,66.612488058699995,0
61,213,80.000000000000000,2.000000000000000,213,44479.800781300000000,10.996338110500000,0
62,215,85.000000000000000,2.000000000000000,215,200051.000000000000000,49.456415062700003,0
63,216,20.000000000000000,3.000000000000000,216,94899.203125000000000,23.461296780700000,0
64,220,30.000000000000000,3.000000000000000,220,26797.500000000000000,6.624900420280000,0
65,222,40.000000000000000,3.000000000000000,222,53611.500000000000000,13.253920914300000,0
66,224,45.000000000000000,3.000000000000000,224,54302.898437500000000,13.424883670200000,0
67,228,70.000000000000000,3.000000000000000,228,25288.199218800000000,6.251762516210000,0
68,232,0.000000000000000,0.000000000000000,232,286172.000000000000000,70.748834475699994,0
69,234,0.000000000000000,0.000000000000000,234,78924.296875000000000,19.511917900400000,0
70,235,0.000000000000000,0.000000000000000,235,35209.898437500000000,8.704785167140001,0
71,237,0.000000000000000,0.000000000000000,237,14770.299804700000000,3.651543393750000,0
72,242,0.000000000000000,0.000000000000000,242,35689.699218800000000,8.823214292930000,0
73,246,0.000000000000000,0.000000000000000,246,42589.300781300000000,10.529054963700000,0
74,258,0.000000000000000,0.000000000000000,258,12197.400390600000000,3.015495233970000,0
75,264,52.500000000000000,2.000000000000000,264,582271.000000000000000,143.950270241000000,0
76,275,0.000000000000000,0.000000000000000,275,181602.000000000000000,44.895443098500003,0
77,276,0.000000000000000,0.000000000000000,276,20993.300781300000000,5.189943835280000,0
78,277,70.000000000000000,1.000000000000000,277,154201.000000000000000,38.122180334200003,0
