Stand ID,Mgmt ID,2025,2045
3_24782_MHD,E85,0,2
3_24782_MHD,NONE,3,2
3_24981_MHD,E45,0,3
3_24981_MHD,E85,0,3
3_24981_MHD,NONE,3,3
3_25088_MHD,E45,0,2
3_25088_MHD,E85,0,2
3_25088_MHD,NONE,2,2
3_25119_MHD,E45,0,3
3_25119_MHD,E85,0,2
3_25119_MHD,NONE,2,2
3_25150_MHD,E45,0,3
3_25150_MHD,E85,0,2
3_25150_MHD,NONE,3,3
3_25253_MHD,E45,0,3
3_25253_MHD,E85,0,3
3_25253_MHD,NONE,3,3
3_78787_MHD,E45,0,2
3_78787_MHD,E85,0,2
3_78787_MHD,NONE,2,3
3_78788_MHD,E45,0,2
3_78788_MHD,E85,0,2
3_78788_MHD,NONE,2,3
3_78828_MHD,E45,0,2
3_78828_MHD,E85,0,2
3_78828_MHD,NONE,3,3
3_82721_MHD,E45,0,2
3_82721_MHD,E85,0,2
3_82721_MHD,NONE,2,3
3_83057_MHD,E45,0,2
3_83057_MHD,E85,0,2
3_83057_MHD,NONE,2,3
3_84053_MHD,E45,0,2
3_84053_MHD,E85,0,2
3_84053_MHD,NONE,2,3
3_84328_MHD,E45,0,2
3_84328_MHD,E85,0,2
3_84328_MHD,NONE,2,0
3_87958_MHD,E45,2,2
3_87958_MHD,E85,2,2
3_87958_MHD,NONE,2,2
3_94201_MHD,E45,2,2
3_94201_MHD,E85,2,2
3_94201_MHD,NONE,0,0
3_94203_MHD,E45,0,2
3_94203_MHD,E85,0,2
3_94203_MHD,NONE,2,2
3_129921_MHD,E45,0,2
3_129921_MHD,E85,2,3
3_129921_MHD,NONE,2,2
3_131381_MHD,E45,0,2
3_131381_MHD,E85,0,2
3_131381_MHD,NONE,2,3
3_135147_MHD,E45,0,2
3_135147_MHD,E85,2,2
3_135147_MHD,NONE,2,2
3_136495_MHD,E45,2,2
3_136495_MHD,E85,2,2
3_136495_MHD,NONE,2,2
3_137213_MHD,E45,0,2
3_137213_MHD,E85,0,2
3_137213_MHD,NONE,2,2
3_137234_MHD,E45,0,2
3_137234_MHD,E85,0,2
3_137234_MHD,NONE,2,0
3_137318_MHD,E45,0,2
3_137318_MHD,E85,2,2
3_137318_MHD,NONE,2,0
3_137444_MHD,E45,0,2
3_137444_MHD,E85,0,2
3_137444_MHD,NONE,2,2
3_137491_MHD,E45,2,2
3_137491_MHD,E85,2,2
3_137491_MHD,NONE,2,0
3_137506_MHD,E45,2,2
3_137506_MHD,E85,2,2
3_137506_MHD,NONE,2,2
3_145048_MHD,E45,2,3
3_145048_MHD,E85,2,3
3_145048_MHD,NONE,2,2
3_145381_MHD,E45,0,3
3_145381_MHD,E85,0,2
3_145381_MHD,NONE,3,2
3_145522_MHD,E45,0,2
3_145522_MHD,E85,0,3
