stand,climateScenario,initial,none,first,second,both
68.0,NONE,40.47230756820111,73.98562113345818,74.43620347897256,76.23853286103002,72.45364115870936
68.0,Ensemble_rcp45,40.47230756820111,70.47107883844618,65.69490597599393,65.24432363047957,47.49137921721372
68.0,Ensemble_rcp85,40.47230756820111,55.60186143647223,53.25883323979754,49.74429094478553,45.05823455143617
69.0,NONE,179.6583569142547,409.0457267046473,403.585717004474,416.871740608229,394.9407016458663
69.0,Ensemble_rcp45,179.6583569142547,416.23473947654213,347.802617901037,376.37666866527735,320.0475685918229
69.0,Ensemble_rcp85,179.6583569142547,425.5167559668366,290.83651669589597,352.8076267928628,311.03855258653704
70.0,NONE,46.43046558212151,116.24731009592404,90.9877568692657,93.21130908992222,80.75941665424558
70.0,Ensemble_rcp45,46.43046558212151,92.05506193518085,98.72571859715043,69.6416555509629,63.682535599603376
70.0,Ensemble_rcp85,46.43046558212151,91.96611984635457,98.63677650832419,68.9301188403528,62.259462178383195
71.0,NONE,44.9764629646,97.40357231929536,92.3153260041083,92.58791062813617,86.77277198220808
71.0,Ensemble_rcp45,44.9764629646,92.6787721694788,85.31898732072605,77.77747938928808,78.86781788539959
71.0,Ensemble_rcp85,44.9764629646,100.49286472494467,76.77800243451918,79.32212559211273,82.22969491507676
72.0,NONE,108.78454812259334,280.3753004076333,261.58864166326657,270.8484165894,255.97935492916662
72.0,Ensemble_rcp45,108.78454812259334,283.22446192336656,264.79394836846666,260.3421335001333,228.73424793496662
72.0,Ensemble_rcp85,108.78454812259334,281.2656633813,254.7328467660333,258.9175527422666,240.13089399789993
73.0,NONE,211.645085795,483.3236821254821,411.87661494627827,444.94896805564554,381.76998915378357
73.0,Ensemble_rcp45,211.645085795,369.1881156882634,390.487430054894,338.0929141234777,310.3229219745797
73.0,Ensemble_rcp85,211.645085795,419.87509164935886,426.61538100588757,321.37699651928665,273.7456183998175
74.0,NONE,154.8695292073628,347.3502890332702,336.7407704514018,333.8877906646809,324.5264507395029
74.0,Ensemble_rcp45,154.8695292073628,293.23282870390807,289.04251464216173,290.55816015385716,199.2628069787882
74.0,Ensemble_rcp85,154.8695292073628,262.2958291416532,261.3151173399679,244.64301671131764,183.48226253348815
75.0,NONE,78.334489366584,179.8523158232648,175.31598144790058,177.8065179677084,174.96019051649947
75.0,Ensemble_rcp45,78.334489366584,199.331869317476,180.20810675466595,143.38374535465027,123.72629639473854
75.0,Ensemble_rcp85,78.334489366584,195.24027360636313,178.87389076191175,181.63127048027042,174.6043995850983
76.0,NONE,56.4635283652,110.39299384987287,142.36826001506978,141.99966905062945,129.46757625965893
76.0,Ensemble_rcp45,56.4635283652,135.08858846737365,118.5019950675597,121.08213181864187,92.6084798156279
76.0,Ensemble_rcp85,56.4635283652,102.74473133773644,87.26391083124342,101.45466296219536,101.45466296219536
77.0,NONE,115.82933754015001,146.6150452454571,130.0464232989428,132.72156538405713,123.57430535108568
77.0,Ensemble_rcp45,115.82933754015001,139.36627314385711,135.914476905,130.13271820491423,93.97515260288569
77.0,Ensemble_rcp85,115.82933754015001,99.0665520552,94.57921694468574,94.7518067566286,80.59944217731429
78.0,NONE,205.435427679,510.31222832503323,459.30757041852297,465.7717024101466,440.62357247013114
78.0,Ensemble_rcp45,205.435427679,531.2985198594829,532.7153159124416,534.1321119654002,429.5548533063918
78.0,Ensemble_rcp85,205.435427679,494.8160214957983,494.8160214957983,484.2786008519185,393.9578524758065
79.0,NONE,189.98436314100002,255.12185907505713,224.36248599508573,222.19123613061714,220.74373622097144
79.0,Ensemble_rcp45,189.98436314100002,232.77607921990145,244.53701598577285,232.50467298684285,188.6273319757072
