Stand ID,Mgmt ID,TreatmentSchedule,2015,2055
1_136257_MHD,E85,both,FALSE,FALSE
1_136257_MHD,NONE,both,FALSE,FALSE
1_137234_MHD,E45,both,FALSE,FALSE
1_137234_MHD,E85,both,FALSE,FALSE
1_137234_MHD,NONE,both,FALSE,TRUE
1_137444_MHD,E45,both,TRUE,FALSE
1_137444_MHD,E85,both,TRUE,FALSE
1_137444_MHD,NONE,both,TRUE,TRUE
1_145200_MHD,E45,both,FALSE,FALSE
1_145200_MHD,E85,both,FALSE,FALSE
1_145200_MHD,NONE,both,TRUE,TRUE
1_145381_MHD,E45,both,FALSE,FALSE
1_145381_MHD,E85,both,FALSE,FALSE
1_145381_MHD,NONE,both,TRUE,TRUE
1_145522_MHD,E45,both,TRUE,FALSE
1_145522_MHD,E85,both,TRUE,FALSE
1_145522_MHD,NONE,both,TRUE,TRUE
1_149512_MHD,E45,both,TRUE,FALSE
1_149512_MHD,E85,both,TRUE,FALSE
1_149512_MHD,NONE,both,TRUE,TRUE
2_1063_MCD,E45,both,FALSE,FALSE
2_1063_MCD,E85,both,FALSE,FALSE
2_1063_MCD,NONE,both,FALSE,FALSE
2_2331_MCD,E45,both,FALSE,FALSE
2_2331_MCD,E85,both,FALSE,FALSE
2_2331_MCD,NONE,both,FALSE,FALSE
2_2831_MCD,E45,both,FALSE,FALSE
2_2831_MCD,E85,both,FALSE,FALSE
2_2831_MCD,NONE,both,FALSE,TRUE
2_2877_MCD,E45,both,FALSE,FALSE
2_2877_MCD,E85,both,FALSE,FALSE
2_2877_MCD,NONE,both,FALSE,FALSE
2_2882_MCD,E45,both,FALSE,FALSE
2_2882_MCD,E85,both,FALSE,FALSE
2_2882_MCD,NONE,both,FALSE,FALSE
2_2924_MCD,E45,both,FALSE,FALSE
2_2924_MCD,E85,both,FALSE,FALSE
2_2924_MCD,NONE,both,TRUE,TRUE
2_8048_MCD,E45,both,FALSE,FALSE
2_8048_MCD,E85,both,FALSE,FALSE
2_8048_MCD,NONE,both,FALSE,FALSE
2_8073_MCD,E45,both,FALSE,FALSE
2_8073_MCD,E85,both,FALSE,FALSE
2_8073_MCD,NONE,both,FALSE,FALSE
2_8142_MCD,E45,both,FALSE,FALSE
2_8142_MCD,E85,both,FALSE,FALSE
2_8142_MCD,NONE,both,FALSE,FALSE
2_8144_MCD,E45,both,FALSE,FALSE
2_8144_MCD,E85,both,FALSE,FALSE
2_8144_MCD,NONE,both,FALSE,FALSE
2_8172_MCD,E45,both,FALSE,FALSE
2_8172_MCD,E85,both,FALSE,FALSE
2_8172_MCD,NONE,both,FALSE,FALSE
2_8191_MCD,E45,both,FALSE,FALSE
2_8191_MCD,E85,both,FALSE,FALSE
2_8191_MCD,NONE,both,FALSE,FALSE
2_8534_MCD,E45,both,FALSE,FALSE
2_8534_MCD,E85,both,FALSE,TRUE
2_8534_MCD,NONE,both,TRUE,FALSE
2_8663_MCD,E45,both,FALSE,FALSE
2_8663_MCD,E85,both,FALSE,FALSE
2_8663_MCD,NONE,both,FALSE,FALSE
2_8685_MCD,E45,both,FALSE,FALSE
2_8685_MCD,E85,both,FALSE,FALSE
2_8685_MCD,NONE,both,TRUE,FALSE
2_8711_MCD,E45,both,FALSE,FALSE
2_8711_MCD,E85,both,FALSE,FALSE
2_8711_MCD,NONE,both,FALSE,FALSE
2_9091_MCD,E45,both,FALSE,FALSE
2_9091_MCD,E85,both,FALSE,FALSE
2_9091_MCD,NONE,both,FALSE,FALSE
2_11891_MCD,E45,both,FALSE,FALSE
2_11891_MCD,E85,both,FALSE,FALSE
2_11891_MCD,NONE,both,FALSE,FALSE
2_12107_MCD,E45,both,FALSE,FALSE
2_12107_MCD,E85,both,FALSE,FALSE
2_12107_MCD,NONE,both,FALSE,FALSE
2_12109_MCD,E45,both,FALSE,FALSE
2_12109_MCD,E85,both,FALSE,FALSE
2_12109_MCD,NONE,both,FALSE,FALSE
2_12111_MCD,E45,both,FALSE,FALSE
2_12111_MCD,E85,both,FALSE,FALSE
2_12111_MCD,NONE,both,FALSE,FALSE
2_12155_MCD,E45,both,FALSE,FALSE
2_12155_MCD,E85,both,FALSE,FALSE
2_12155_MCD,NONE,both,FALSE,FALSE
2_12194_MCD,E45,both,FALSE,FALSE
2_12194_MCD,E85,both,FALSE,FALSE
2_12194_MCD,NONE,both,FALSE,FALSE
2_12197_MCD,E45,both,FALSE,FALSE
2_12197_MCD,E85,both,FALSE,FALSE
2_12197_MCD,NONE,both,FALSE,FALSE
2_12293_MCD,E45,both,FALSE,FALSE
2_12293_MCD,E85,both,FALSE,FALSE
2_12293_MCD,NONE,both,FALSE,FALSE
2_12555_MCD,E45,both,FALSE,FALSE
2_12555_MCD,E85,both,FALSE,FALSE
2_12555_MCD,NONE,both,FALSE,FALSE
2_12917_MCD,E45,both,FALSE,FALSE
2_12917_MCD,E85,both,FALSE,FALSE
2_12917_MCD,NONE,both,TRUE,FALSE
2_12918_MCD,E45,both,FALSE,FALSE
2_12918_MCD,E85,both,FALSE,FALSE
2_12918_MCD,NONE,both,FALSE,FALSE
2_13242_MCD,E45,both,FALSE,FALSE
2_13242_MCD,E85,both,FALSE,FALSE
2_13242_MCD,NONE,both,FALSE,FALSE
2_13272_MCD,E45,both,FALSE,FALSE
2_13272_MCD,E85,both,FALSE,FALSE
2_13272_MCD,NONE,both,FALSE,FALSE
2_13363_MCD,E45,both,FALSE,FALSE
2_13363_MCD,E85,both,FALSE,FALSE
2_13363_MCD,NONE,both,FALSE,FALSE
2_13390_MCD,E45,both,FALSE,FALSE
2_13390_MCD,E85,both,FALSE,FALSE
2_13390_MCD,NONE,both,FALSE,FALSE
2_13424_MCD,E45,both,FALSE,FALSE
2_13424_MCD,E85,both,FALSE,FALSE
2_13424_MCD,NONE,both,FALSE,FALSE
2_13505_MCD,E45,both,FALSE,FALSE
2_13505_MCD,E85,both,FALSE,FALSE
2_13505_MCD,NONE,both,FALSE,FALSE
2_13655_MCD,E45,both,TRUE,FALSE
2_13655_MCD,E85,both,TRUE,FALSE
2_13655_MCD,NONE,both,TRUE,FALSE
2_14019_MCD,E45,both,FALSE,FALSE
2_14019_MCD,E85,both,FALSE,FALSE
2_14019_MCD,NONE,both,FALSE,FALSE
2_14349_MCD,E45,both,FALSE,FALSE
2_14349_MCD,E85,both,FALSE,FALSE
2_14349_MCD,NONE,both,FALSE,FALSE
2_14408_MCD,E45,both,TRUE,FALSE
2_14408_MCD,E85,both,TRUE,FALSE
2_14408_MCD,NONE,both,TRUE,FALSE
2_14453_MCD,E45,both,FALSE,FALSE
2_14453_MCD,E85,both,FALSE,FALSE
2_14453_MCD,NONE,both,TRUE,TRUE
2_14498_MCD,E45,both,TRUE,FALSE
2_14498_MCD,E85,both,TRUE,FALSE
2_14498_MCD,NONE,both,TRUE,TRUE
2_14499_MCD,E45,both,FALSE,FALSE
2_14499_MCD,E85,both,FALSE,FALSE
2_14499_MCD,NONE,both,FALSE,FALSE
2_15240_MCD,E45,both,FALSE,FALSE
2_15240_MCD,E85,both,FALSE,FALSE
2_15240_MCD,NONE,both,FALSE,FALSE
2_15668_MCD,E45,both,TRUE,FALSE
2_15668_MCD,E85,both,TRUE,FALSE
2_15668_MCD,NONE,both,TRUE,FALSE
2_17057_MCD,E45,both,FALSE,FALSE
2_17057_MCD,E85,both,FALSE,FALSE
2_17057_MCD,NONE,both,TRUE,TRUE
2_20529_MCD,E45,both,FALSE,FALSE
2_20529_MCD,E85,both,FALSE,FALSE
2_20529_MCD,NONE,both,FALSE,FALSE
2_20557_MCD,E45,both,FALSE,FALSE
2_20557_MCD,E85,both,FALSE,FALSE
2_20557_MCD,NONE,both,FALSE,FALSE
2_20646_MCD,E45,both,FALSE,FALSE
2_20646_MCD,E85,both,FALSE,FALSE
2_20646_MCD,NONE,both,FALSE,FALSE
2_20740_MCD,E45,both,FALSE,FALSE
2_20740_MCD,E85,both,FALSE,FALSE
2_20740_MCD,NONE,both,TRUE,TRUE
2_20824_MCD,E45,both,FALSE,FALSE
2_20824_MCD,E85,both,FALSE,FALSE
2_20824_MCD,NONE,both,FALSE,FALSE
2_20918_MCD,E45,both,FALSE,FALSE
2_20918_MCD,E85,both,FALSE,FALSE
2_20918_MCD,NONE,both,FALSE,FALSE
