stand,climate,baseline,trtIn1,trtIn2
138.0,NONE,0.09756833528613569,0.5051479923067846,0.5066604114454277
138.0,Ensemble_rcp45,0.09756833528613569,1.475929706672566,1.4058988150501477
138.0,Ensemble_rcp85,0.09756833528613569,1.4893858889705016,1.1273925069321535
139.0,NONE,0.0,0.10583963927173912,0.10583963927173912
139.0,Ensemble_rcp45,0.0,0.4636035664565216,0.11744623693478261
139.0,Ensemble_rcp85,0.0,0.3854749648586956,0.07133921554347826
140.0,NONE,0.0,0.0,0.0
140.0,Ensemble_rcp45,0.0,0.0,0.0
140.0,Ensemble_rcp85,0.0,0.0,0.0
141.0,NONE,0.0,0.0,0.0
141.0,Ensemble_rcp45,0.0,0.0001793425093167702,0.0
141.0,Ensemble_rcp85,0.0,0.0,0.0
142.0,NONE,0.0,0.0,0.0
142.0,Ensemble_rcp45,0.0,0.0,0.0
142.0,Ensemble_rcp85,0.0,0.0,0.0
143.0,NONE,0.0,0.0,0.0
143.0,Ensemble_rcp45,0.0,0.0,0.0
143.0,Ensemble_rcp85,0.0,0.0,0.0
144.0,NONE,0.047479611000000005,1.7565649609999998,1.748432715810185
144.0,Ensemble_rcp45,0.047479611000000005,3.900753623000001,3.907585304180556
144.0,Ensemble_rcp85,0.047479611000000005,3.4155155133333324,2.560877561384259
145.0,NONE,0.0,0.0,0.0
145.0,Ensemble_rcp45,0.0,0.0,0.0
145.0,Ensemble_rcp85,0.0,0.0,0.0
146.0,NONE,0.0,0.0,0.0
146.0,Ensemble_rcp45,0.0,0.0,0.0
146.0,Ensemble_rcp85,0.0,0.0,0.0
147.0,NONE,0.0,0.0,0.0
147.0,Ensemble_rcp45,0.0,0.0,0.0
147.0,Ensemble_rcp85,0.0,0.0,0.0
148.0,NONE,0.0,0.0,0.0
148.0,Ensemble_rcp45,0.0,0.0,0.0
148.0,Ensemble_rcp85,0.0,0.0,0.0
149.0,NONE,0.0,0.0,0.0
149.0,Ensemble_rcp45,0.0,0.0,0.0
149.0,Ensemble_rcp85,0.0,0.0,0.0
150.0,NONE,0.0,0.0,0.0
150.0,Ensemble_rcp45,0.0,0.0,0.0
150.0,Ensemble_rcp85,0.0,0.0,0.0
151.0,NONE,0.0,0.0,0.0
151.0,Ensemble_rcp45,0.0,0.0,0.0
151.0,Ensemble_rcp85,0.0,0.0,0.0
152.0,NONE,0.0,0.0,0.0
152.0,Ensemble_rcp45,0.0,0.0,0.0
152.0,Ensemble_rcp85,0.0,0.0,0.0
153.0,NONE,0.0,0.0,0.0
153.0,Ensemble_rcp45,0.0,0.0,0.0
153.0,Ensemble_rcp85,0.0,0.0,0.0
154.0,NONE,0.0,0.0,0.0
154.0,Ensemble_rcp45,0.0,0.0,0.0
154.0,Ensemble_rcp85,0.0,0.0,0.0
155.0,NONE,0.0,0.0,0.0
155.0,Ensemble_rcp45,0.0,0.0,0.0
155.0,Ensemble_rcp85,0.0,0.0,0.0
156.0,NONE,0.0,0.0,0.0
156.0,Ensemble_rcp45,0.0,0.0,0.0
156.0,Ensemble_rcp85,0.0,0.0,0.0
157.0,NONE,0.0,0.0,0.0
157.0,Ensemble_rcp45,0.0,1.3189585158064516,0.0
157.0,Ensemble_rcp85,0.0,2.7278755590483876,0.0
158.0,NONE,0.0,0.0,0.0
158.0,Ensemble_rcp45,0.0,0.0,0.0
158.0,Ensemble_rcp85,0.0,0.0,0.0
159.0,NONE,0.0,0.0,0.0
159.0,Ensemble_rcp45,0.0,0.0,0.0
159.0,Ensemble_rcp85,0.0,0.0,0.0
160.0,NONE,0.0,0.0,0.0
160.0,Ensemble_rcp45,0.0,0.0,0.0
160.0,Ensemble_rcp85,0.0,0.0,0.0
161.0,NONE,0.0,0.0,0.0
161.0,Ensemble_rcp45,0.0,0.0,0.0
161.0,Ensemble_rcp85,0.0,0.0,0.0
162.0,NONE,0.0,0.0,0.0
162.0,Ensemble_rcp45,0.0,0.0,0.0
162.0,Ensemble_rcp85,0.0,0.0,0.0
163.0,NONE,0.0,0.0,0.0
163.0,Ensemble_rcp45,0.0,0.0,0.014920235837837838
163.0,Ensemble_rcp85,0.0,0.0,0.0
164.0,NONE,0.0,0.015999901818521983,0.015850090003741817
164.0,Ensemble_rcp45,0.0,0.01808206910383536,0.0158351088222638
164.0,Ensemble_rcp85,0.0,0.0003295859822263798,0.00533330027315248
165.0,NONE,0.0,0.0,0.0
165.0,Ensemble_rcp45,0.0,0.0,0.0
165.0,Ensemble_rcp85,0.0,0.0,0.0
166.0,NONE,0.0,0.0,0.0
166.0,Ensemble_rcp45,0.0,0.0,0.0
166.0,Ensemble_rcp85,0.0,0.0,0.0
167.0,NONE,0.0,0.0007667930000000001,0.0007667930000000001
167.0,Ensemble_rcp45,0.0,0.0,0.0
167.0,Ensemble_rcp85,0.0,0.0,0.0
168.0,NONE,0.0,0.0,0.0
168.0,Ensemble_rcp45,0.0,0.0,0.0
168.0,Ensemble_rcp85,0.0,0.0,0.0
169.0,NONE,0.0,0.0,0.0
169.0,Ensemble_rcp45,0.0,0.0,0.0
169.0,Ensemble_rcp85,0.0,0.0,0.0
170.0,NONE,0.0,0.0,0.0
170.0,Ensemble_rcp45,0.0,0.0,0.07703613921052631
170.0,Ensemble_rcp85,0.0,0.0,0.06132279394736841
171.0,NONE,0.0,0.0,0.0
171.0,Ensemble_rcp45,0.0,0.0,0.0
171.0,Ensemble_rcp85,0.0,0.0,0.0
172.0,NONE,0.0,0.0,0.0
172.0,Ensemble_rcp45,0.0,0.0,0.0
172.0,Ensemble_rcp85,0.0,0.0,0.0
173.0,NONE,0.0,0.0,0.0
173.0,Ensemble_rcp45,0.0,0.0,0.0
173.0,Ensemble_rcp85,0.0,0.0,0.0
174.0,NONE,0.0,0.0,0.0
174.0,Ensemble_rcp45,0.0,0.0,0.0
174.0,Ensemble_rcp85,0.0,0.0,0.0
175.0,NONE,0.0,0.0,0.0
175.0,Ensemble_rcp45,0.0,0.0,0.0
175.0,Ensemble_rcp85,0.0,0.0,0.0
176.0,NONE,0.0,0.0,0.0
176.0,Ensemble_rcp45,0.0,0.0,0.0
176.0,Ensemble_rcp85,0.0,0.0,0.0
177.0,NONE,0.0,0.0,0.0
