Stand,climateScenario,none,first,second,both
100,Ensemble_rcp45,,,,
100,Ensemble_rcp85,,,,
101,NONE,,,,
101,Ensemble_rcp45,,,,
101,Ensemble_rcp85,,,,
102,NONE,,,,
102,Ensemble_rcp45,,,,
102,Ensemble_rcp85,,,,
103,NONE,,,,
103,Ensemble_rcp45,,,,
103,Ensemble_rcp85,,,,
104,NONE,,,,
104,Ensemble_rcp45,,,,
104,Ensemble_rcp85,,,,
105,NONE,,,,
105,Ensemble_rcp45,,,,
105,Ensemble_rcp85,,,,
106,NONE,,,,
106,Ensemble_rcp45,,,,
106,Ensemble_rcp85,,,,
107,NONE,,,,
107,Ensemble_rcp45,,,,
107,Ensemble_rcp85,,,,
108,NONE,,,,
108,Ensemble_rcp45,,,,
108,Ensemble_rcp85,,,,
109,NONE,,,,
109,Ensemble_rcp45,,,,
109,Ensemble_rcp85,,,,
110,NONE,,,,
110,Ensemble_rcp45,,,,
110,Ensemble_rcp85,,,,
111,NONE,,,,
111,Ensemble_rcp45,,,,
111,Ensemble_rcp85,,,,
112,NONE,,,,
112,Ensemble_rcp45,,,,
112,Ensemble_rcp85,,,,
113,NONE,,,,
113,Ensemble_rcp45,,,,
113,Ensemble_rcp85,,,,
114,NONE,,,,
114,Ensemble_rcp45,,,,
114,Ensemble_rcp85,,,,
115,NONE,,,,
115,Ensemble_rcp45,,,,
115,Ensemble_rcp85,,,,
116,NONE,,,,
116,Ensemble_rcp45,,,,
116,Ensemble_rcp85,,,,
117,NONE,,,,
117,Ensemble_rcp45,,,,
117,Ensemble_rcp85,,,,
118,NONE,,,,
118,Ensemble_rcp45,,,,
118,Ensemble_rcp85,,,,
119,NONE,,,,
119,Ensemble_rcp45,,,,
119,Ensemble_rcp85,,,,
120,NONE,,,,
120,Ensemble_rcp45,,,,
120,Ensemble_rcp85,,,,
121,NONE,,,,
121,Ensemble_rcp45,,,,
121,Ensemble_rcp85,,,,
122,NONE,,,,
122,Ensemble_rcp45,,,,
122,Ensemble_rcp85,,,,
123,NONE,,,,
123,Ensemble_rcp45,,,,
123,Ensemble_rcp85,,,,
124,NONE,,,,
124,Ensemble_rcp45,,,,
124,Ensemble_rcp85,,,,
125,NONE,,,,
125,Ensemble_rcp45,,,,
125,Ensemble_rcp85,,,,
126,NONE,,,,
126,Ensemble_rcp45,,,,
126,Ensemble_rcp85,,,,
127,NONE,,,,
127,Ensemble_rcp45,,,,
127,Ensemble_rcp85,,,,
128,NONE,,,,
128,Ensemble_rcp45,,,,
128,Ensemble_rcp85,,,,
129,NONE,,,,
129,Ensemble_rcp45,,,,
129,Ensemble_rcp85,,,,
130,NONE,,,,
130,Ensemble_rcp45,,,,
130,Ensemble_rcp85,,,,
131,NONE,,,,
131,Ensemble_rcp45,,,,
131,Ensemble_rcp85,,,,
132,NONE,,,,
132,Ensemble_rcp45,,,,
132,Ensemble_rcp85,,,,
133,NONE,,,,
133,Ensemble_rcp45,,,,
133,Ensemble_rcp85,,,,
134,NONE,,,,
134,Ensemble_rcp45,,,,
134,Ensemble_rcp85,,,,
135,NONE,,,,
135,Ensemble_rcp45,,,,
135,Ensemble_rcp85,,,,
136,NONE,,,,
136,Ensemble_rcp45,,,,
136,Ensemble_rcp85,,,,
137,NONE,,,,
137,Ensemble_rcp45,,,,
137,Ensemble_rcp85,,,,
138,NONE,,,,
138,Ensemble_rcp45,,,,
138,Ensemble_rcp85,,,,
139,NONE,,,,
139,Ensemble_rcp45,,,,
139,Ensemble_rcp85,,,,
140,NONE,,,,
140,Ensemble_rcp45,,,,
140,Ensemble_rcp85,,,,
141,NONE,,,,
141,Ensemble_rcp45,,,,
141,Ensemble_rcp85,,,,
142,NONE,,,,
142,Ensemble_rcp45,,,,
142,Ensemble_rcp85,,,,
143,NONE,,,,
143,Ensemble_rcp45,,,,
143,Ensemble_rcp85,,,,
144,NONE,,,,
144,Ensemble_rcp45,,,,
144,Ensemble_rcp85,,,,
145,NONE,,,,
145,Ensemble_rcp45,,,,
145,Ensemble_rcp85,,,,
146,NONE,,,,
146,Ensemble_rcp45,,,,
146,Ensemble_rcp85,,,,
147,NONE,,,,
147,Ensemble_rcp45,,,,
147,Ensemble_rcp85,,,,
148,NONE,,,,
148,Ensemble_rcp45,,,,
148,Ensemble_rcp85,,,,
149,NONE,,,,
149,Ensemble_rcp45,,,,
149,Ensemble_rcp85,,,,
150,NONE,,,,
150,Ensemble_rcp45,,,,
150,Ensemble_rcp85,,,,
151,NONE,,,,
151,Ensemble_rcp45,,,,
151,Ensemble_rcp85,,,,
152,NONE,,,,
152,Ensemble_rcp45,,,,
152,Ensemble_rcp85,,,,
153,NONE,,,,
153,Ensemble_rcp45,,,,
153,Ensemble_rcp85,,,,
154,NONE,,,,
154,Ensemble_rcp45,,,,
154,Ensemble_rcp85,,,,
