stand,climateScenario,none,first,second,both
110,Ensemble_rcp85,True,True,True,True
111,NONE,True,True,True,True
111,Ensemble_rcp45,True,True,True,True
111,Ensemble_rcp85,True,True,True,True
112,NONE,True,True,True,True
112,Ensemble_rcp45,True,True,True,True
112,Ensemble_rcp85,True,True,True,True
113,NONE,True,True,True,True
113,Ensemble_rcp45,True,True,True,True
113,Ensemble_rcp85,True,True,True,True
114,NONE,True,True,True,True
114,Ensemble_rcp45,True,True,True,True
114,Ensemble_rcp85,True,True,True,True
115,NONE,True,True,True,True
115,Ensemble_rcp45,True,True,True,True
115,Ensemble_rcp85,True,True,True,True
116,NONE,True,True,True,True
116,Ensemble_rcp45,True,True,True,True
116,Ensemble_rcp85,True,True,True,True
117,NONE,True,True,True,True
117,Ensemble_rcp45,True,True,True,True
117,Ensemble_rcp85,True,True,True,True
118,NONE,False,False,False,False
118,Ensemble_rcp45,False,False,False,False
118,Ensemble_rcp85,False,False,False,False
119,NONE,True,True,True,True
119,Ensemble_rcp45,True,True,True,True
119,Ensemble_rcp85,True,True,True,True
120,NONE,True,True,True,True
120,Ensemble_rcp45,True,True,True,True
120,Ensemble_rcp85,True,False,True,False
121,NONE,True,True,True,True
121,Ensemble_rcp45,True,True,True,True
121,Ensemble_rcp85,True,True,True,True
122,NONE,True,True,True,True
122,Ensemble_rcp45,True,True,True,True
122,Ensemble_rcp85,True,True,True,True
123,NONE,False,False,False,False
123,Ensemble_rcp45,False,False,False,False
123,Ensemble_rcp85,False,False,False,False
124,NONE,True,True,True,True
124,Ensemble_rcp45,True,True,True,True
124,Ensemble_rcp85,True,True,True,True
125,NONE,False,False,False,False
125,Ensemble_rcp45,False,False,False,False
125,Ensemble_rcp85,False,False,False,False
126,NONE,False,False,False,False
126,Ensemble_rcp45,False,False,False,False
126,Ensemble_rcp85,False,False,False,False
127,NONE,False,False,False,False
127,Ensemble_rcp45,False,False,False,False
127,Ensemble_rcp85,False,False,False,False
128,NONE,False,False,False,False
128,Ensemble_rcp45,False,False,False,False
128,Ensemble_rcp85,False,False,False,False
129,NONE,False,False,False,False
129,Ensemble_rcp45,False,False,False,False
129,Ensemble_rcp85,False,False,False,False
130,NONE,True,True,True,True
130,Ensemble_rcp45,True,True,True,True
130,Ensemble_rcp85,True,True,True,True
131,NONE,True,True,True,True
131,Ensemble_rcp45,True,True,True,True
131,Ensemble_rcp85,True,True,True,True
132,NONE,False,False,False,False
132,Ensemble_rcp45,False,False,False,False
132,Ensemble_rcp85,False,False,False,False
133,NONE,False,False,False,False
133,Ensemble_rcp45,False,False,False,False
133,Ensemble_rcp85,False,False,False,False
134,NONE,True,True,True,True
