FID,Field1,Field2,Field3,Field4,Longitude,Latitude
1766,Stand_195_GNN_25053,-2020470.000000000000000,2611140.000000000000000,1693.588745120000100,-121.601175959000000,44.027022174300001
1767,Stand_129_GNN_20760,-2020800.000000000000000,2608740.000000000000000,1842.003499350000100,-121.597163256000000,44.005488601300002
1768,Stand_50_GNN_20760,-2019940.000000000000000,2608855.000000000000000,1794.746073410000000,-121.587171567000000,44.008534483299997
1769,Stand_102_GNN_82596,-2020725.000000000000000,2607255.000000000000000,1876.883117670000000,-121.591314422000000,43.992831184200000
1770,Stand_137_GNN_145522,-2019580.000000000000000,2614140.000000000000000,1822.459065750000000,-121.600431266000000,44.055080055300003
1771,Stand_1_GNN_9895,-2023470.000000000000000,2611950.000000000000000,2031.033081050000000,-121.640074619000000,44.026858187400002
1772,Stand_244_GNN_137417,-2021040.000000000000000,2614695.000000000000000,1883.605346679999900,-121.619906110000000,44.056391782799999
1773,Stand_249_GNN_140848,-2026740.000000000000000,2612310.000000000000000,1864.755330409999900,-121.680726539999990,44.022147420800003
1774,Stand_171_GNN_136495,-2021220.000000000000000,2615220.000000000000000,1895.199829100000000,-121.623830298000000,44.060500075500002
1775,Stand_20_GNN_144707,-2021760.000000000000000,2611980.000000000000000,1802.244262700000000,-121.619541728000000,44.031203265199998
1776,Stand_185_GNN_87655,-2025720.000000000000000,2611320.000000000000000,1925.122070310000000,-121.665115529999990,44.016032549899997
1777,Stand_4_GNN_87655,-2026755.600000000100000,2612818.799999999800000,1895.209565430000100,-121.682615010000010,44.026507245600001
1778,Stand_141_GNN_150017,-2023890.000000000000000,2609480.000000000000000,2180.273763019999900,-121.636901712000000,44.004505701100001
1779,Stand_200_GNN_82600,-2017890.000000000000000,2613270.000000000000000,1833.033081050000000,-121.577131624000000,44.051590715400003
1780,Stand_47_GNN_149408,-2019870.000000000000000,2609700.000000000000000,1769.110839839999900,-121.589140294000000,44.016005974999999
1781,Stand_128_GNN_130578,-2022815.000000000000000,2610995.000000000000000,2004.320149740000000,-121.628986487000010,44.020169009599996
1782,Stand_133_GNN_140949,-2023698.000000000000000,2608524.000000000000000,2126.326513670000200,-121.631398193000000,43.996701760400001
1783,Stand_132_GNN_25119,-2022750.000000000000000,2608530.000000000000000,1982.388671879999900,-121.619984672000000,43.999018220600000
1784,Stand_118_GNN_14452,-2021603.333330000100000,2612354.444440000200000,1856.344658740000100,-121.618899700000000,44.034814128800001
1785,Stand_64_GNN_136333,-2020015.500000000000000,2613363.000000000000000,1761.585919189999900,-121.603098496000000,44.047323629700003
1786,Stand_46_GNN_25120,-2019175.000000000000000,2609535.000000000000000,1712.360921230000000,-121.580205586999990,44.016237321100000
1787,Stand_82_GNN_29452,-2020932.500000000000000,2611387.500000000000000,1782.561828610000000,-121.607581491999990,44.028057627099997
1788,Stand_101_GNN_23906,-2021220.000000000000000,2606730.000000000000000,1954.199829100000000,-121.595536671999990,43.987112150500003
1789,Stand_122_GNN_137444,-2021130.000000000000000,2613750.000000000000000,1945.555297850000000,-121.617840752000010,44.048007967799997
1790,Stand_54_GNN_9122,-2018366.666669999900000,2609963.333329999800000,1576.660305449999900,-121.571877625000000,44.021867571400001
1791,Stand_165_GNN_24617,-2018950.000000000000000,2611710.000000000000000,1703.273844399999900,-121.584731551000000,44.035576305100001
1792,Stand_19_GNN_141067,-2024310.000000000000000,2613105.000000000000000,2054.955261229999900,-121.654064880000010,44.034832737000002
1793,Stand_289_GNN_8685,-2018302.500000000000000,2611915.909090000200000,1677.869501290000000,-121.577602333000000,44.038900642700000
1794,Stand_254_GNN_81411,-2021250.000000000000000,2614200.000000000000000,1945.677612300000000,-121.620789950000000,44.051611257399998
1795,Stand_2_GNN_73774,-2017860.000000000000000,2610270.000000000000000,1633.588745120000100,-121.566783974000000,44.025726520299997
1796,Stand_78_GNN_137471,-2022783.870970000000000,2609201.612900000100000,2005.119475329999900,-121.622631684000000,44.004742328699997
1797,Stand_78_GNN_84088,-2022470.000000000000000,2609130.000000000000000,1986.684977220000100,-121.618607057000010,44.004872992700001
1798,Stand_290_GNN_14019,-2018175.000000000000000,2612490.000000000000000,1681.744262700000000,-121.577974774000000,44.044167784700001
1799,Stand_108_GNN_136257,-2021670.000000000000000,2610960.000000000000000,1862.577514650000000,-121.615055402000000,44.022601421399997
1800,Stand_95_GNN_81141,-2023980.000000000000000,2607570.000000000000000,1941.766479489999900,-121.631618513000010,43.987782583300003
1801,Stand_72_GNN_137492,-2020372.500000000000000,2613105.000000000000000,1795.188659670000100,-121.606547526000000,44.044241129299998
1802,Stand_47_GNN_13575,-2019960.000000000000000,2609610.000000000000000,1773.244262700000000,-121.589926485000010,44.015013273100003
1803,Stand_69_GNN_93760,-2018671.111109999900000,2613367.222219999900000,1773.015014650000000,-121.586884706000010,44.050568197700002
1804,Stand_100_GNN_137268,-2021487.906980000000000,2607014.651159999900000,1925.050940229999900,-121.599715298000010,43.988933317200001
1805,Stand_105_GNN_25195,-2019660.000000000000000,2607308.181820000100000,1807.705854940000100,-121.578645937000000,43.995831028700003
1806,Stand_32_GNN_93052,-2021550.000000000000000,2610990.000000000000000,1795.388671879999900,-121.613707536000010,44.023147287500002
1807,Stand_18_GNN_25253,-2025189.000000000000000,2611825.000000000000000,2006.323848470000000,-121.660396262000010,44.021667379900002
1808,Stand_59_GNN_133151,-2020530.000000000000000,2612250.000000000000000,1838.088623050000000,-121.605598718000000,44.036474168200002
1809,Stand_42_GNN_24482,-2018012.500000000000000,2607404.375000000000000,1719.196795150000100,-121.559092543000010,44.000589652000002
1810,Stand_42_GNN_24483,-2017950.000000000000000,2607600.000000000000000,1721.855346679999900,-121.558989030000010,44.002429741500002
1811,Stand_59_GNN_24218,-2021280.000000000000000,2612400.000000000000000,1891.144287110000100,-121.615149718000000,44.035980099900002
1812,Stand_61_GNN_2642,-2023170.000000000000000,2612940.000000000000000,1954.810913090000000,-121.639758208000000,44.036132245700003
1813,Stand_293_GNN_85910,-2020065.000000000000000,2611170.000000000000000,1681.966491700000000,-121.596388808000000,44.028248042300000
1814,Stand_13_GNN_137472,-2018310.000000000000000,2609115.000000000000000,1712.410888670000100,-121.568371222000000,44.014668864199997
1815,Stand_148_GNN_130578,-2021400.000000000000000,2607400.000000000000000,1985.029418950000000,-121.599938212000000,43.992473954499999
1816,Stand_116_GNN_133913,-2021340.000000000000000,2612160.000000000000000,1880.466430660000000,-121.615073659000000,44.033762236000001
1817,Stand_181_GNN_145350,-2021400.000000000000000,2610660.000000000000000,1777.188720700000000,-121.610797895000000,44.020652941800002
1818,Stand_233_GNN_23651,-2024040.000000000000000,2611490.000000000000000,2147.403564450000000,-121.645416595000000,44.021519726500003
1819,Stand_68_GNN_149531,-2018010.000000000000000,2612040.000000000000000,1590.077596030000000,-121.574485013000000,44.040670893700003
1820,Stand_213_GNN_14234,-2019870.000000000000000,2611510.000000000000000,1765.062744139999900,-121.595168243000000,44.031652488799999
1821,Stand_81_GNN_141180,-2020955.000000000000000,2609765.000000000000000,1855.696085610000000,-121.602447033999990,44.013978845899999
1822,Stand_190_GNN_23423,-2020980.000000000000000,2612550.000000000000000,1849.044189450000000,-121.612029367000010,44.037993094900003
1823,Stand_144_GNN_13651,-2018810.000000000000000,2611900.000000000000000,1730.366455079999900,-121.583674587000000,44.037552767100003
1824,Stand_144_GNN_13655,-2018814.000000000000000,2611971.428570000000000,1745.501070730000000,-121.583960719999990,44.038160721200001
1825,Stand_106_GNN_8508,-2019900.000000000000000,2607090.000000000000000,1818.377563479999900,-121.580814780000000,43.993372688900003
1826,Stand_85_GNN_149460,-2024760.000000000000000,2612565.000000000000000,2063.333007820000100,-121.657691447999990,44.029089231800000
1827,Stand_70_GNN_137444,-2018400.000000000000000,2613630.000000000000000,1848.033081050000000,-121.584487229999990,44.053486660600001
1828,Stand_230_GNN_25120,-2018697.222220000100000,2607450.000000000000000,1779.557816120000100,-121.567504236000000,43.999352272599999
1829,Stand_91_GNN_24642,-2026620.000000000000000,2612640.000000000000000,1926.366455079999900,-121.680381661000000,44.025286637400001
1830,Stand_296_GNN_9123,-2019690.000000000000000,2611545.000000000000000,1738.988708500000000,-121.593112618000010,44.032384548300001
1831,Stand_67_GNN_8829,-2018767.500000000000000,2612917.500000000000000,1678.124786379999900,-121.586550249000000,44.046450396499999
1832,Stand_136_GNN_20918,-2017710.000000000000000,2611785.000000000000000,1595.022094720000000,-121.570015213999990,44.039181600100001
1833,Stand_119_GNN_21112,-2019540.000000000000000,2612670.000000000000000,1763.588684079999900,-121.595049974999990,44.042467713800001
1834,Stand_191_GNN_137367,-2017650.000000000000000,2610840.000000000000000,1510.222045900000000,-121.566146231999990,44.031154837700001
1835,Stand_270_GNN_25926,-2017800.000000000000000,2610900.000000000000000,1529.266479489999900,-121.568156181000010,44.031316004399997
1836,Stand_44_GNN_129875,-2018990.000000000000000,2609300.000000000000000,1725.070190429999900,-121.577191344000000,44.014646977300004
1837,Stand_7_GNN_82721,-2026830.000000000000000,2611755.000000000000000,1885.105346679999900,-121.679957727000000,44.017135552600003
1838,Stand_120_GNN_20674,-2017890.000000000000000,2612700.000000000000000,1779.338684079999900,-121.575233771000000,44.046662888500002
1839,Stand_95_GNN_130578,-2024768.181820000100000,2608093.636359999900000,2012.013399989999900,-121.642868981000010,43.990424630400000
1840,Stand_286_GNN_11891,-2021160.000000000000000,2611470.000000000000000,1813.777587889999900,-121.610601598000000,44.028227622899998
1841,Stand_286_GNN_11892,-2021308.421050000000000,2611479.473679999800000,1792.882844629999900,-121.612424101000000,44.027955133500001
1842,Stand_115_GNN_25053,-2020425.000000000000000,2611125.000000000000000,1691.610961919999900,-121.600582983000000,44.026999910900003
1843,Stand_126_GNN_21148,-2024495.454549999900000,2611227.272729999900000,2078.557328660000200,-121.650034327000000,44.018160011799999
1844,Stand_96_GNN_149408,-2023818.000000000000000,2607534.000000000000000,1948.608666990000100,-121.629544994000000,43.987858491700003
1845,Stand_49_GNN_136333,-2020125.000000000000000,2609061.000000000000000,1788.097583010000100,-121.590089218000000,44.009873896599998
1846,Stand_11_GNN_136425,-2018940.000000000000000,2609070.000000000000000,1767.799804690000000,-121.575822672000000,44.012777916099999
1847,Stand_135_GNN_137367,-2017947.272730000100000,2611879.090909999800000,1580.072543060000000,-121.573192258000010,44.039429360400000
1848,Stand_222_GNN_93760,-2019780.000000000000000,2612415.000000000000000,1779.710937500000000,-121.597097041000000,44.039690603399997
1849,Stand_122_GNN_136898,-2020710.000000000000000,2613570.000000000000000,1870.877563479999900,-121.612171201000000,44.047454985000002
1850,Stand_73_GNN_130631,-2019174.545450000100000,2614478.181820000100000,1886.890691590000000,-121.596663663000000,44.058971265700002
1851,Stand_34_GNN_137492,-2021310.000000000000000,2609145.000000000000000,1901.699829100000000,-121.604664341000000,44.007772241399998
1852,Stand_137_GNN_14451,-2019540.000000000000000,2614173.333329999800000,1825.054104269999900,-121.600059494000010,44.055463686400003
1853,Stand_137_GNN_14452,-2019410.625000000000000,2613952.500000000000000,1780.042160030000100,-121.597761743000010,44.053863391599997
