stand,climateScenario,none,first,second,both
29.0,Ensemble_rcp85,-254.9160321624878,-247.0032946562095,-247.99238684449432,-196.1100056953742
30.0,NONE,-245.52430706373275,-220.30104491729477,-227.99324543003826,-403.0355291909583
30.0,Ensemble_rcp45,-60.73260637387052,-311.89189753414826,-317.52688163069297,-375.48671805229526
30.0,Ensemble_rcp85,-255.89983333673575,-245.79263963975876,-89.44419200864584,-394.1805541821022
31.0,NONE,-88.65172057036946,-205.67561756049932,-159.17425493002943,-146.84640830674695
31.0,Ensemble_rcp45,-412.4389862936412,-416.51805319105085,-427.84879457274434,-288.1634148192275
31.0,Ensemble_rcp85,-353.15654738462115,-365.8469777321178,-144.76155189251543,-245.55982722406026
32.0,NONE,-362.4478827707253,-222.33596363496724,-223.3201469750013,-278.523885229639
32.0,Ensemble_rcp45,-314.133427896326,-159.0798162345963,-335.4275765261538,-210.52576355455852
32.0,Ensemble_rcp85,-314.22289910905636,-168.3848223585547,-224.48327274049615,-233.7882788644545
33.0,NONE,-124.96511169785076,-116.33442772447403,-109.14219107999341,-108.42296741554534
33.0,Ensemble_rcp45,-81.63188591485503,-76.5973202637186,-76.5973202637186,-76.77712617983063
33.0,Ensemble_rcp85,-59.78546710724515,-59.78546710724515,13.845055540625193,-1.2586414127841086
34.0,NONE,-212.3372445579227,-189.6665173121419,-153.07203632485806,-201.00188093503232
34.0,Ensemble_rcp45,-215.72892816162218,-205.10760319214222,-206.35717083561045,-248.12843206011982
34.0,Ensemble_rcp85,-214.21159602312505,-203.5010162219688,-198.8597649748011,-238.9351843974607
35.0,NONE,-31.565717859940502,-22.6014354465435,-24.604094283579006,-27.178941359767503
35.0,Ensemble_rcp45,-21.170964848661,-23.3643530987475,-15.449082457131002,-9.4411059460245
35.0,Ensemble_rcp85,-19.931223663829506,-25.176282522732002,-7.724541228565499,-12.015953022213
36.0,NONE,-372.74264540063393,-225.07921279961366,-225.7064239817782,-124.00861087367248
36.0,Ensemble_rcp45,-221.04714091427024,-271.0448322925284,-129.38470672079697,-30.464543133705657
