stand,climateScenario,none,first,second,both
26,Ensemble_rcp85,83.65339556305229,83.65339556305229,82.5763132167469,80.96068969728881
27,NONE,103.42124841725929,82.33887669265616,80.43874876897945,76.54801063954628
27,Ensemble_rcp45,105.5928231871755,103.05931928893993,91.02517577232094,80.25778420481976
27,Ensemble_rcp85,90.48228207984191,90.48228207984191,85.05334515505139,85.05334515505139
28,NONE,162.11585247968327,130.31964936902716,134.0814536807104,132.46925183284617
28,Ensemble_rcp45,160.86191770912214,165.69852325271492,156.38357924283255,150.5617392366561
28,Ensemble_rcp85,155.48791154957465,154.59224385631674,133.99188691138465,141.15722845744799
29,NONE,114.4649414260483,132.71818817348571,132.1786833435122,132.71818817348571
29,Ensemble_rcp45,157.71524529559213,159.06400737052593,132.3585182868367,140.990595566413
29,Ensemble_rcp85,151.69077469422115,152.85970182583043,135.59554726667778,137.57373164324736
30,NONE,305.3624715175168,267.5275782978597,270.4792366341451,264.0392548095225
30,Ensemble_rcp45,262.4292593533669,302.58970156524873,270.38979244213635,292.3930636762632
30,Ensemble_rcp85,259.03038005703837,258.1359381369519,255.00539141664927,230.67657119029764
31,NONE,213.10858390689023,166.24463755220617,162.9813840342784,162.52815437901072
31,Ensemble_rcp45,224.5299712196373,245.83176501722093,212.11147866530126,234.41037770447394
31,Ensemble_rcp85,212.65535425162258,223.71415784015537,212.65535425162258,211.0237274926587
32,NONE,260.8980563217563,163.19549202019323,163.55337687111472,163.19549202019323
32,Ensemble_rcp45,259.6454593435311,253.02458960148383,156.1272662144941,252.577233537832
32,Ensemble_rcp85,261.16646995994745,254.6350714306305,214.73091055288586,243.8985259029862
33,NONE,175.40067116727113,173.33290313198296,175.85018595755116,168.7478522711266
33,Ensemble_rcp45,189.6053385401204,187.5375705048322,193.92068052680878,181.87368414730372
33,Ensemble_rcp85,182.50300485369576,182.50300485369576,182.32319893758375,182.32319893758375
34,NONE,167.44206422474272,125.84931266358596,117.99488747607138,119.95849377295004
34,Ensemble_rcp45,170.92300266011853,168.69163186821095,155.3926619484419,155.39266194844194
34,Ensemble_rcp85,169.8519446800029,163.42559679930915,141.20114371190988,154.41085880000261
35,NONE,25.46237664230849,18.214658946370495,19.072941305099995,18.405388359421497
35,Ensemble_rcp45,18.405388359421508,18.310023652896007,22.696800153069013,20.02658837035501
