Stand,climateScenario,none,first,second,both
140,Ensemble_rcp45,False,False,False,False
140,Ensemble_rcp85,False,False,False,False
141,NONE,False,False,False,False
141,Ensemble_rcp45,False,False,False,False
141,Ensemble_rcp85,False,False,False,False
142,NONE,False,False,False,False
142,Ensemble_rcp45,False,False,False,False
142,Ensemble_rcp85,False,False,False,False
143,NONE,False,False,False,False
143,Ensemble_rcp45,False,False,False,False
143,Ensemble_rcp85,False,False,False,False
144,NONE,False,False,False,False
144,Ensemble_rcp45,False,False,False,False
144,Ensemble_rcp85,False,False,False,False
145,NONE,False,False,False,False
145,Ensemble_rcp45,False,False,False,False
145,Ensemble_rcp85,False,False,False,False
146,NONE,False,False,False,False
146,Ensemble_rcp45,False,False,False,False
146,Ensemble_rcp85,False,False,False,False
147,NONE,False,False,False,False
147,Ensemble_rcp45,False,False,False,False
147,Ensemble_rcp85,False,False,False,False
148,NONE,False,False,False,False
148,Ensemble_rcp45,False,False,False,False
148,Ensemble_rcp85,False,False,False,False
149,NONE,False,False,False,False
149,Ensemble_rcp45,False,False,False,False
149,Ensemble_rcp85,False,False,False,False
150,NONE,False,False,False,False
150,Ensemble_rcp45,False,False,False,False
150,Ensemble_rcp85,False,False,False,False
151,NONE,False,False,False,False
151,Ensemble_rcp45,False,False,False,False
151,Ensemble_rcp85,False,False,False,False
152,NONE,False,False,False,False
152,Ensemble_rcp45,False,False,False,False
152,Ensemble_rcp85,False,False,False,False
153,NONE,False,False,False,False
153,Ensemble_rcp45,False,False,False,False
153,Ensemble_rcp85,False,False,False,False
154,NONE,False,False,False,False
154,Ensemble_rcp45,False,False,False,False
154,Ensemble_rcp85,False,False,False,False
155,NONE,False,False,False,False
155,Ensemble_rcp45,False,False,False,False
155,Ensemble_rcp85,False,False,False,False
156,NONE,False,False,False,False
156,Ensemble_rcp45,False,False,False,False
156,Ensemble_rcp85,False,False,False,False
157,NONE,False,False,False,False
157,Ensemble_rcp45,False,False,False,False
157,Ensemble_rcp85,False,False,False,False
158,NONE,False,False,False,False
158,Ensemble_rcp45,False,False,False,False
158,Ensemble_rcp85,False,False,False,False
159,NONE,False,False,False,False
159,Ensemble_rcp45,False,False,False,False
159,Ensemble_rcp85,False,False,False,False
160,NONE,False,False,False,False
160,Ensemble_rcp45,False,False,False,False
160,Ensemble_rcp85,False,False,False,False
161,NONE,False,False,False,False
161,Ensemble_rcp45,False,False,False,False
161,Ensemble_rcp85,False,False,False,False
162,NONE,False,False,False,False
162,Ensemble_rcp45,False,False,False,False
162,Ensemble_rcp85,False,False,False,False
163,NONE,False,False,False,False
163,Ensemble_rcp45,False,False,False,False
163,Ensemble_rcp85,False,False,False,False
164,NONE,False,False,False,False
164,Ensemble_rcp45,False,False,False,False
164,Ensemble_rcp85,False,False,False,False
165,NONE,False,False,False,False
165,Ensemble_rcp45,False,False,False,False
165,Ensemble_rcp85,False,False,False,False
166,NONE,False,False,False,False
166,Ensemble_rcp45,False,False,False,False
166,Ensemble_rcp85,False,False,False,False
167,NONE,False,False,False,False
167,Ensemble_rcp45,False,False,False,False
167,Ensemble_rcp85,False,False,False,False
168,NONE,False,False,False,False
168,Ensemble_rcp45,False,False,False,False
168,Ensemble_rcp85,False,False,False,False
169,NONE,False,False,False,False
169,Ensemble_rcp45,False,False,False,False
169,Ensemble_rcp85,False,False,False,False
170,NONE,False,False,False,False
170,Ensemble_rcp45,False,False,False,False
170,Ensemble_rcp85,False,False,False,False
171,NONE,False,False,False,False
171,Ensemble_rcp45,False,False,False,False
171,Ensemble_rcp85,False,False,False,False
172,NONE,False,False,False,False
172,Ensemble_rcp45,False,False,False,False
172,Ensemble_rcp85,False,False,False,False
173,NONE,False,False,False,False
173,Ensemble_rcp45,False,False,False,False
173,Ensemble_rcp85,False,False,False,False
174,NONE,False,False,False,False
174,Ensemble_rcp45,False,False,False,False
174,Ensemble_rcp85,False,False,False,False
175,NONE,False,False,False,False
175,Ensemble_rcp45,False,False,False,False
175,Ensemble_rcp85,False,False,False,False
176,NONE,False,False,False,False
176,Ensemble_rcp45,False,False,False,False
176,Ensemble_rcp85,False,False,False,False
177,NONE,False,False,False,False
177,Ensemble_rcp45,False,False,False,False
177,Ensemble_rcp85,False,False,False,False
178,NONE,False,False,False,False
178,Ensemble_rcp45,False,False,False,False
178,Ensemble_rcp85,False,False,False,False
179,NONE,False,False,False,False
179,Ensemble_rcp45,False,False,False,False
179,Ensemble_rcp85,False,False,False,False
180,NONE,False,False,False,False
180,Ensemble_rcp45,False,False,False,False
180,Ensemble_rcp85,False,False,False,False
181,NONE,False,False,False,False
181,Ensemble_rcp45,False,False,False,False
181,Ensemble_rcp85,False,False,False,False
182,NONE,False,False,False,False
182,Ensemble_rcp45,False,False,False,False
182,Ensemble_rcp85,False,False,False,False
183,NONE,False,False,False,False
183,Ensemble_rcp45,False,False,False,False
183,Ensemble_rcp85,False,False,False,False
184,NONE,False,False,False,False
184,Ensemble_rcp45,False,False,False,False
184,Ensemble_rcp85,False,False,False,False
185,NONE,False,False,False,False
185,Ensemble_rcp45,False,False,False,False
185,Ensemble_rcp85,False,False,False,False
186,NONE,False,False,False,False
186,Ensemble_rcp45,False,False,False,False
186,Ensemble_rcp85,False,False,False,False
187,NONE,False,False,False,False
187,Ensemble_rcp45,False,False,False,False
187,Ensemble_rcp85,False,False,False,False
188,NONE,False,False,False,False
188,Ensemble_rcp45,False,False,False,False
188,Ensemble_rcp85,False,False,False,False
189,NONE,False,False,False,False
189,Ensemble_rcp45,False,False,False,False
189,Ensemble_rcp85,False,False,False,False
190,NONE,False,False,False,False
190,Ensemble_rcp45,False,False,False,False
190,Ensemble_rcp85,False,False,False,False
191,NONE,False,False,False,False
191,Ensemble_rcp45,False,False,False,False
191,Ensemble_rcp85,False,False,False,False
192,NONE,False,False,False,False
192,Ensemble_rcp45,False,False,False,False
192,Ensemble_rcp85,False,False,False,False
193,NONE,False,False,False,False
193,Ensemble_rcp45,False,False,False,False
193,Ensemble_rcp85,False,False,False,False
194,NONE,False,False,False,False
194,Ensemble_rcp45,False,False,False,False
194,Ensemble_rcp85,False,False,False,False
195,NONE,False,False,False,False
195,Ensemble_rcp45,False,False,False,False
195,Ensemble_rcp85,False,False,False,False
196,NONE,False,False,False,False
196,Ensemble_rcp45,False,False,False,False
196,Ensemble_rcp85,False,False,False,False
197,NONE,False,False,False,False
197,Ensemble_rcp45,False,False,False,False
197,Ensemble_rcp85,False,False,False,False
198,NONE,False,False,False,False
198,Ensemble_rcp45,False,False,False,False
198,Ensemble_rcp85,False,False,False,False
199,NONE,False,False,False,False
199,Ensemble_rcp45,False,False,False,False
199,Ensemble_rcp85,False,False,False,False
200,NONE,False,False,False,False
200,Ensemble_rcp45,False,False,False,False
200,Ensemble_rcp85,False,False,False,False
201,NONE,False,False,False,False
201,Ensemble_rcp45,False,False,False,False
201,Ensemble_rcp85,False,False,False,False
202,NONE,False,False,False,False
202,Ensemble_rcp45,False,False,False,False
202,Ensemble_rcp85,False,False,False,False
203,NONE,False,False,False,False
203,Ensemble_rcp45,False,False,False,False
203,Ensemble_rcp85,False,False,False,False
204,NONE,False,False,False,False
204,Ensemble_rcp45,False,False,False,False
204,Ensemble_rcp85,False,False,False,False
205,NONE,False,False,False,False
205,Ensemble_rcp45,False,False,False,False
205,Ensemble_rcp85,False,False,False,False
206,NONE,False,False,False,False
206,Ensemble_rcp45,False,False,False,False
206,Ensemble_rcp85,False,False,False,False
207,NONE,False,False,False,False
207,Ensemble_rcp45,False,False,False,False
207,Ensemble_rcp85,False,False,False,False
208,NONE,False,False,False,False
208,Ensemble_rcp45,False,False,False,False
208,Ensemble_rcp85,False,False,False,False
209,NONE,False,False,False,False
209,Ensemble_rcp45,False,False,False,False
209,Ensemble_rcp85,False,False,False,False
210,NONE,False,False,False,False
210,Ensemble_rcp45,False,False,False,False
210,Ensemble_rcp85,False,False,False,False
211,NONE,False,False,False,False
211,Ensemble_rcp45,False,False,False,False
211,Ensemble_rcp85,False,False,False,False
212,NONE,False,False,False,False
212,Ensemble_rcp45,False,False,False,False
212,Ensemble_rcp85,False,False,False,False
213,NONE,False,False,False,False
213,Ensemble_rcp45,False,False,False,False
213,Ensemble_rcp85,False,False,False,False
214,NONE,False,False,False,False
214,Ensemble_rcp45,False,False,False,False
214,Ensemble_rcp85,False,False,False,False
215,NONE,False,False,False,False
215,Ensemble_rcp45,False,False,False,False
215,Ensemble_rcp85,False,False,False,False
216,NONE,False,False,False,False
216,Ensemble_rcp45,False,False,False,False
216,Ensemble_rcp85,False,False,False,False
217,NONE,False,False,False,False
217,Ensemble_rcp45,False,False,False,False
217,Ensemble_rcp85,False,False,False,False
218,NONE,False,False,False,False
218,Ensemble_rcp45,False,False,False,False
218,Ensemble_rcp85,False,False,False,False
219,NONE,False,False,False,False
219,Ensemble_rcp45,False,False,False,False
219,Ensemble_rcp85,False,False,False,False
220,NONE,False,False,False,False
220,Ensemble_rcp45,False,False,False,False
220,Ensemble_rcp85,False,False,False,False
221,NONE,False,False,False,False
221,Ensemble_rcp45,False,False,False,False
221,Ensemble_rcp85,False,False,False,False
222,NONE,False,False,False,False
222,Ensemble_rcp45,False,False,False,False
222,Ensemble_rcp85,False,False,False,False
223,NONE,False,False,False,False
223,Ensemble_rcp45,False,False,False,False
223,Ensemble_rcp85,False,False,False,False
224,NONE,False,False,False,False
224,Ensemble_rcp45,False,False,False,False
224,Ensemble_rcp85,False,False,False,False
225,NONE,False,False,False,False
225,Ensemble_rcp45,False,False,False,False
225,Ensemble_rcp85,False,False,False,False
226,NONE,False,False,False,False
226,Ensemble_rcp45,False,False,False,False
226,Ensemble_rcp85,False,False,False,False
227,NONE,False,False,False,False
227,Ensemble_rcp45,False,False,False,False
227,Ensemble_rcp85,False,False,False,False
228,NONE,False,False,False,False
228,Ensemble_rcp45,False,False,False,False
228,Ensemble_rcp85,False,False,False,False
229,NONE,False,False,False,False
229,Ensemble_rcp45,False,False,False,False
229,Ensemble_rcp85,False,False,False,False
230,NONE,False,False,False,False
230,Ensemble_rcp45,False,False,False,False
230,Ensemble_rcp85,False,False,False,False
231,NONE,False,False,False,False
231,Ensemble_rcp45,False,False,False,False
231,Ensemble_rcp85,False,False,False,False
232,NONE,False,False,False,False
232,Ensemble_rcp45,False,False,False,False
232,Ensemble_rcp85,False,False,False,False
233,NONE,False,False,False,False
233,Ensemble_rcp45,False,False,False,False
233,Ensemble_rcp85,False,False,False,False
234,NONE,False,False,False,False
234,Ensemble_rcp45,False,False,False,False
234,Ensemble_rcp85,False,False,False,False
235,NONE,False,False,False,False
235,Ensemble_rcp45,False,False,False,False
235,Ensemble_rcp85,False,False,False,False
236,NONE,False,False,False,False
236,Ensemble_rcp45,False,False,False,False
236,Ensemble_rcp85,False,False,False,False
237,NONE,False,False,False,False
237,Ensemble_rcp45,False,False,False,False
237,Ensemble_rcp85,False,False,False,False
238,NONE,False,False,False,False
238,Ensemble_rcp45,False,False,False,False
238,Ensemble_rcp85,False,False,False,False
239,NONE,False,False,False,False
239,Ensemble_rcp45,False,False,False,False
239,Ensemble_rcp85,False,False,False,False
240,NONE,False,False,False,False
240,Ensemble_rcp45,False,False,False,False
240,Ensemble_rcp85,False,False,False,False
241,NONE,False,False,False,False
241,Ensemble_rcp45,False,False,False,False
241,Ensemble_rcp85,False,False,False,False
242,NONE,False,False,False,False
242,Ensemble_rcp45,False,False,False,False
242,Ensemble_rcp85,False,False,False,False
243,NONE,False,False,False,False
243,Ensemble_rcp45,False,False,False,False
243,Ensemble_rcp85,False,False,False,False
244,NONE,False,False,False,False
244,Ensemble_rcp45,False,False,False,False
244,Ensemble_rcp85,False,False,False,False
245,NONE,False,False,False,False
245,Ensemble_rcp45,False,False,False,False
245,Ensemble_rcp85,False,False,False,False
246,NONE,False,False,False,False
246,Ensemble_rcp45,False,False,False,False
246,Ensemble_rcp85,False,False,False,False
247,NONE,False,False,False,False
247,Ensemble_rcp45,False,False,False,False
247,Ensemble_rcp85,False,False,False,False
248,NONE,False,False,False,False
248,Ensemble_rcp45,False,False,False,False
248,Ensemble_rcp85,False,False,False,False
